Dielectric Const (Typical),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,CuO,ZnO,SrO,PbO,Fe2O3,La2O3,Bi2O3,TiO2,GeO2,ZrO2,CeO2,TeO2,P2O5,V2O5,Nb2O5,WO3
8.29,64,0,0,0,0,0,0,16,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,65.2,0,0,0,0,0,0,17.4,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.6,70,0,0,0,0,0,0,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.75,60,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.22,75.6,0,0,0,0,0,0,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.88,73.2,0,0,0,0,0,0,25.4,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0
7.48,70.7,0,0,0,0,0,0,26.4,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0
8.42,65,0,0,0,0,0,0,28.6,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0
9.78,50,0,0,0,0,0,0,34.6,0,0,0,0,15.4,0,0,0,0,0,0,0,0,0,0,0,0
12.24,27.1,0,0,0,0,0,0,43.7,0,0,0,0,29.2,0,0,0,0,0,0,0,0,0,0,0,0
8.4,70,0,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
9.63,64,0,0,0,0,0,0,16,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
7.96,65.2,0,0,17.4,0,0,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.6,60,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.37,65.2,0,0,0,17.4,0,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,60,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.45,65.2,0,0,0,0,0,0,0,17.4,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0
7.68,74.26,0,0,0,0,19.8,0,0,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.13,70.1,0,0,0,0,18.7,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.73,65.2,0,0,0,0,17.4,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.05,61.46,0,0,0,0,16.4,0,0,22.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.23,60,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.89,65.2,0,0,0,0,0,0,0,17.4,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,60,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.15,64,0,0,0,0,0,0,0,16,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
9.5,60,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
6.88,80.19,0,0,0,0,0,0,0,18.27,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0
7.48,77.71,0,0,0,0,0,0,0,19.07,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0
8.42,72.05,0,0,0,0,0,0,0,20.9,0,0,0,7.05,0,0,0,0,0,0,0,0,0,0,0,0
9.78,56.71,0,0,0,0,0,0,0,25.84,0,0,0,17.45,0,0,0,0,0,0,0,0,0,0,0,0
12.24,31.8,0,0,0,0,0,0,0,33.9,0,0,0,34.3,0,0,0,0,0,0,0,0,0,0,0,0
7.6,80,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.4,60.29,0,5.07,0,0,0,34.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.1,68.09,0,8.3,0,0,0,23.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.4,64.22,0,8.11,0,0,0,27.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,56.99,0,7.75,0,0,0,35.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.6,68,28,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.3,68,20,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.2,80,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.9,76,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,72,12,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3,68,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,64,20,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.25,60,24,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1,52,32,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.8,68,12,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.7,73.56,0,0,0,0,0,0,10.18,0,0,0,0,0,0,0,16.26,0,0,0,0,0,0,0,0,0
15.6,71.25,0,0,0,0,0,0,17.27,0,0,0,0,0,0,0,11.48,0,0,0,0,0,0,0,0,0
14,63.25,0,0,0,0,0,0,20.44,0,0,0,0,0,0,0,16.31,0,0,0,0,0,0,0,0,0
13.9,53.73,0,0,0,0,0,0,34.72,0,0,0,0,0,0,0,11.55,0,0,0,0,0,0,0,0,0
6.65,64,20,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.75,64,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
8,70.5,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
10.5,56.7,0,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,26.8,0,0,0,0,0,0,0,0
12.7,53.4,0,0,0,0,0,0,21.7,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0
15.2,40.18,0,0,0,0,0,0,22.53,0,0,0,0,0,0,0,0,37.29,0,0,0,0,0,0,0,0
13.85,46.8,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,30.2,0,0,0,0,0,0,0,0
11.4,71.36,0,0,0,0,0,0,23.25,0,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0
12.95,54.69,0,0,0,0,0,0,23.55,0,0,0,0,0,0,0,0,21.76,0,0,0,0,0,0,0,0
13.4,60.94,0,0,0,0,0,0,26.17,0,0,0,0,0,0,0,0,12.89,0,0,0,0,0,0,0,0
14.85,46.6,0,0,0,0,0,0,27.6,0,0,0,0,0,0,0,0,25.8,0,0,0,0,0,0,0,0
14.55,56.5,0,0,0,0,0,0,27.7,0,0,0,0,0,0,0,0,15.8,0,0,0,0,0,0,0,0
16.4,39.62,0,0,0,0,0,0,29.04,0,0,0,0,0,0,0,0,31.34,0,0,0,0,0,0,0,0
