Liquidus Temperature ( C ),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,As2O3,Y2O3,Sb2O3,La2O3,Gd2O3,Bi2O3,TiO2,ZrO2,CeO2,SnO2,P2O5,Nb2O5,Ta2O5
1078,71.69,0,0.22,0,0,12.28,0,7.88,4.79,0,0,0,0.01,0,0,0,0,0,0,0.47,2.44,0.22,0,0,0,0
1032,69.63,0,0,0,7.1,1.73,2.22,3.21,4.22,0,0.64,0,0,0,0,0,0,0,0,7.48,3.77,0,0,0,0,0
1162,62.41,0,2.62,3.32,9.55,1.74,0,6.48,2.84,0.82,0,0,0,0,0,0,0,0,0,5.87,4.35,0,0,0,0,0
1313,71.35,0,13.18,6.35,9.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1283,53.46,0,13.23,14.34,14.89,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0,0,0,0,0,0
1210,62.43,0,11.25,14.61,11.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0
1239,62.89,0,13.1,12.12,9.29,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0
1220,64.12,0,13.35,10.71,8.29,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0
1215,61.22,0,14.49,12.22,9.37,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0
1230,64.73,0,13.48,9.15,8.37,2.62,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0
635,88.99,1.28,0,0,0,0,0,0,1.26,0,0,8.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,88.14,2.65,0,0,0,0,0,0,1.25,0,0,7.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,90.45,1.26,0,0,0,0,0,0,0.23,0,0,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,88.42,1.3,0,0,0,0,0,0,1.27,0,0,9.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
650,88.9,1.28,0,0,0,0,0,0,1.42,0,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,61,0,9,9.5,9.5,0,0,1.5,0,6.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,62.5,0,9,9.3,9.3,0,0,2,0,6.3,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100,59,0,9,7.3,7.3,0,0,0,3,7.2,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,59,0,9,7.3,7.3,0,0,3,0,7.2,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,65,0,9,7,9.5,0,0,0,2.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,55,0,13,7.3,7.3,0,0,3,0,7.2,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,69,0,7,5.3,5.3,0,0,3,0,5.2,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1330,42.84,0,15.81,0.66,32.62,0,0,4.26,3.09,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0
1260,44.47,0,13.14,0.82,32.92,0,0,4.51,3.39,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
920,67.03,0,0.7,0,0,5.62,1.44,8.34,3.66,4.23,6.93,0,0,0,0,0.09,0,0,0,0.36,1.52,0.08,0,0,0,0
1110,45.37,0,0,0,26.47,0,0,26.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,0
1163,46.14,0,0,0,26.91,0,0,24.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0
978,74.86,0,0.92,0,10.38,0,0,13.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,73.59,0,0.92,0,11.66,0,0,13.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
974,73.88,0,0.8,0,10.91,0,0,14.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
974,73.96,0,0.92,0,10.7,0,0,14.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
964,73.75,0,0.92,0,10.6,0,0,14.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
956,73.68,0,0.92,0,10.38,0,0,15.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912,71.07,0,1.48,4.95,7.01,0,0,14.73,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,65.32,0,7.46,6.17,7.18,0,0,13.43,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0
980,71.86,0,2.08,5.36,7.59,0,0,13.09,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
1275,62.48,0,7.79,6.21,19.3,0,0,2.01,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0
1225,63.66,0,9.24,6.23,16.8,0,0,2.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0
1175,57.73,0,9.59,6.26,21.93,0,0,2.74,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0
1225,61.93,0,7.66,6.15,20.24,0,0,2.6,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0
1225,63.97,0,9.23,7.15,16.91,0,0,2.06,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,60.07,0,11.51,11.02,14.02,0,0,2.04,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1275,62.39,0,9.25,7.75,17.27,0,0,2.02,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,57.85,7.4,9.79,11.18,11.48,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,58.19,8.21,9.98,11.04,11.34,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,0,0,0,0,47.76,0,8.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.38,0,0
1170,60,0,9,9.3,9.4,0,0,0,0,9.3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,61,0,9,10.7,10.7,0,0,0,0,7,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,60,0,9,8.7,8.7,0,0,0,0,8.6,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1180,58,0,9,10.9,10.9,0,0,0,0,8.7,0,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1100,59,0,9,7,7,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,59,0,9,9.5,9.5,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,59,0,9,6.8,13.5,0,0,0,0,6.7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,59,0,9,13,7,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,59,0,9,7,7,0,0,0,0,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,65,0,9,7.7,7.7,0,0,0,0,7.6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,57,0,12,11,11,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,63,0,7,10.5,10.5,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1231,64.16,2.98,0,0,0,0,0,19.54,0,0,0,0,0.12,0,0,0,0,0,0,0,13.2,0,0,0,0,0
760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.4,0,0,0,0,66.6,0,0
760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,0,0,0,0,65.5,0,0
790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.1,0,0,0,0,60.9,0,0
790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2,0,0,0,0,59.8,0,0
